x_H_1,x_H_2,xt,x_G
0.10396324,0.36450484,0.17905663,0.35247526
0.1082736,0.36530817,0.17760651,0.34881172
0.108530745,0.3605277,0.18037613,0.35056534
0.10299989,0.36230925,0.17854919,0.3561417
0.10524345,0.36285996,0.179129,0.35276768
0.108046636,0.36447465,0.17632003,0.35115865
0.104728855,0.3663132,0.17660744,0.3523506
0.1055073,0.36233303,0.17917839,0.35298127
0.10400499,0.36307153,0.1769039,0.3560196
0.10062716,0.36962652,0.17443597,0.35531032
0.1032673,0.36817667,0.17537917,0.35317683
0.10036161,0.36768797,0.17566967,0.35628077
0.10246209,0.367704,0.17787188,0.35196203
0.10487214,0.3631657,0.17502943,0.3569325
0.1060792,0.37171394,0.17217521,0.3500317
0.10372026,0.3696585,0.17305294,0.35356826
0.10396096,0.36821938,0.17485833,0.3529614
0.101344146,0.36960346,0.17453867,0.35451382
0.09842196,0.37167025,0.17345884,0.3564489
0.095987506,0.37377396,0.17314892,0.3570896
0.100432895,0.3718023,0.16982035,0.35794437
0.09845464,0.3611083,0.17201342,0.36842376
0.100196145,0.36917853,0.16857764,0.36204773
0.09687106,0.36745682,0.16928232,0.36638984
0.09821483,0.37195393,0.17105994,0.35877126
0.09684325,0.37449494,0.1695385,0.35912335
0.1027627,0.3711817,0.1783222,0.3477334
0.112026535,0.3588009,0.17252801,0.35664448
0.1047674,0.36187258,0.16591275,0.36744726
0.10408544,0.3589947,0.16702582,0.36989403
0.10448096,0.36195734,0.16833024,0.36523142
0.10261821,0.36121875,0.1701879,0.3659752
0.10142407,0.36860985,0.1670262,0.36293992
0.101313666,0.36774853,0.16826761,0.36267018
0.09889659,0.36649194,0.16446006,0.3701513
0.098828495,0.36509734,0.16806425,0.36800995
0.099806555,0.36946756,0.16553628,0.36518958
0.10040228,0.36303696,0.16775756,0.36880317
0.09961185,0.36052412,0.16493195,0.37493196
0.09792313,0.36759007,0.16321032,0.37127644
